entity_type,n,pct
Metric,3514,28.79855761350598
Policy,2162,17.718406818554335
Infrastructure,1669,13.678085559744304
Sector,1668,13.669890181937387
Region,986,8.080642517620062
Energysource,907,7.433207670873627
Technology,785,6.433371578429766
Timeframe,511,4.187838059334536
