rel_type,n,pct
MENTIONS,27218,53.132137349444626
LOCATED_IN,4522,8.827376188338182
FORECASTS,3858,7.5311847268042245
AFFECTS,3542,6.914322525230835
CONSUMES,2588,5.052023347063072
PRODUCES,1981,3.8671013332812776
DRIVES,1927,3.7616881722529136
REQUIRES,1664,3.248287036133289
ENACTED_BY,1562,3.049173287524157
CONSTRAINS,1443,2.8168739141468366
REPLACES,599,1.169305249185
COMPETES_WITH,323,0.6305268705955843
