chunk_size,chunk_overlap,unit,ingest_seconds,faithfulness,answer_relevancy,context_precision
900,150,char,0.23,0.935,0.679,0.985
180,30,token,20.84,0.943,0.704,0.993
230,40,token,20.15,0.971,0.698,1.0
280,50,token,20.53,0.962,0.798,1.0
380,60,token,22.43,0.969,0.851,0.993
