config,trial,faithfulness,answer_relevancy,context_precision,wall_seconds
mmr_baseline,1,0.9722222222222221,0.8406388890712156,0.9933333333154668,56.0
mmr_baseline,2,0.9542857142857143,0.8520086523453818,0.9999999999833333,53.7
mmr_baseline,3,0.9789473684210526,0.8496803598692804,0.9933333333154668,54.1
mmr_baseline,4,0.9384523809523809,0.8452498874861873,0.99999999998,58.9
mmr_baseline,5,0.9277777777777777,0.8462199355918607,0.9999999999826666,53.0
mmr_with_rerank,1,0.8827985739750446,0.838201446801552,0.9999999999833333,61.1
mmr_with_rerank,2,0.9469696969696969,0.6879405020520282,0.9999999999833333,54.9
mmr_with_rerank,3,0.8868778280542987,0.6855616021140084,0.9999999999833333,54.3
mmr_with_rerank,4,0.8793772893772894,0.8533103000720906,0.9999999999833333,58.2
mmr_with_rerank,5,0.9497668997668998,0.8396874040897739,0.9999999999833333,50.9
hybrid_rerank_pool30,1,0.9138461538461538,0.8394657494107258,0.9999999999833333,67.3
hybrid_rerank_pool30,2,0.96,0.8428997628386202,0.9999999999833333,52.3
hybrid_rerank_pool30,3,0.977124183006536,0.8421639332127973,0.9999999999833333,57.8
hybrid_rerank_pool30,4,0.8901398601398602,0.507580379624103,0.9999999999833333,59.8
hybrid_rerank_pool30,5,0.9492307692307692,0.825543755228928,0.9999999999833333,57.5
